Q96EG3,Q96SQ5-1
A0PK00,Q14973
Q9H2L4,Q9UBD6
Q8TD06,Q96EQ0
O15160-1,Q8WUT1
P08034,P21145-1
Q8N130,Q8TED1
Q15323,Q15561-2
Q9BT92,Q9BYV2-1
P33240-1,Q8IWL8
O14653-1,Q8TED1
Q96C32,Q9BSL1
P50222,Q86Y39-1
Q3LI66,Q9H0F6-2
O75031-1,P01189
Q01628,Q9NUH8-1
Q8NEC5,Q9BYQ4
Q7Z6R9,Q8ND83-2
O75593,P84022-1
Q03060-25,Q8TDC0-1
O60831,Q96MV8-1
P08727,Q96ES7
O95183,Q5JXX7
P49639,Q13064
Q8IX15-1,Q9BUE0
P60331,Q96NX5-1
Q99750,Q9P0T4
A0A0C4DFN3,Q9Y320-1
P10074,Q9HCK0
Q5J8X5-1,Q96HJ5-1
Q96RJ6,Q9UI47-1
O95983-2,Q7Z3H0-1
O75031-1,Q96NM4-3
P0C7H8,Q96EZ8-1
Q8NEC5,Q8TD06
H0YKB7,Q7L273
Q9HCD5,Q9NRD5-1
Q53G59-1,Q5HY54
Q8N661,Q9Y5U9
Q8N8B7-1,Q9P0L1-2
Q9NP64-1,Q9NP64-1
O15160-1,Q5RL73-1
Q13422-7,Q8IVW4-1
Q92979,Q92979
Q9BYM8-1,Q9H0I2-1
Q3LI66,Q96HR8-1
A4D161-1,Q8TAU3-1
O00303,O00303
Q16849-3,Q9H6E4
A0A087WV42,Q9H2K0
Q3LI67,Q63HR2-5
P84243,Q9UER7-1
Q7Z3I7,Q9BVG8-5
P60371,Q08ER8
O00560-1,P13489
P34972,Q9NWH2
A8MT70-3,Q99750
P50222,Q14055
Q8WV44-1,Q9H079
O14796-1,Q86Y26-1
Q16825,Q9Y272-1
Q13520,Q96F15-1
P26367-1,Q9BUI4
Q8NA61-2,Q8TAU3-1
Q8IYA8-1,Q9UJV3-2
P36508-1,Q6A162
O60336-1,P60328
Q5BVD1-1,Q96HE8-2
A0A1B0GTW0,O95436-2
O43296,P23508-1
O14735-1,O43653
F8WBZ3,Q9H9P2-1
P60370,Q9BYQ0
O15116,P62310
P11215-1,P58418-3
Q96FJ2,Q99932-2
P15622-3,Q15916
O15409-2,Q08117-2
O00258-1,P32856-2
Q96CS2-1,Q96GS4
A0A087WVF5,Q86UY5-1
Q13042-1,Q8NHZ8
P19801-1,Q8IUC2
P50222,Q14990
P36508-1,Q9UKT9-1
Q15654-1,Q9H0W8-1
Q8N720-1,Q8TD31-1
O95393,Q9H7M9
Q01081-1,Q8N4J0
Q6PL45-2,Q9H2K0
P22301,Q7Z3S9-1
Q8NI38-1,Q9H0W8-1
O14744-1,Q8TBB1-1
Q96BT7-2,Q9NRD5-1
O95872,Q8N6F8
O00560-1,Q9UH03-1
O14524-2,Q9H2A7
Q7Z2K6-1,Q9UGI6-2
Q16623-1,Q96JC4
H0YKB7,Q96HA8-1
Q5BJF2,Q8N183
P14598,Q7Z6J0-1
Q15323,Q9BQ66
O60669,Q9ULC5-1
Q15645-1,Q92824-2
Q8N7W2-2,Q9UKI8-1
Q9NZ32,Q9UJW0-1
P25791-1,P55884-1
Q6P5S7-1,Q8N6R1
Q96P66,Q96Q80-1
O43242-1,P60900-1
P04264,P37198
P54274-2,Q9NR81-1
Q99942,Q9UI14
P21549,Q9BYR8
Q8TDT2,Q9BQS2-2
O14744-1,Q16543
Q8IZU1,Q96BV0
O43609,P26371
Q8WTU2-1,Q9BYR6
O43278-2,Q86UF1
B8A4K4,Q5T4B2-2
P55327-2,Q9BQ29
P34896-1,Q9H8Y8-1
P40426-5,Q9UHD4
O43765,Q9UHQ9
Q13562,Q99081-3
Q86VR2-1,Q96Q45-2
Q05519-2,Q05519-2
H7C0E9,O43610
P15941-11,Q6PL45-2
O75864-1,Q6ZRY4-1
P26367-1,Q9UBE0-1
P60331,Q9Y6H3
Q6P158-1,Q9UPG8
P27105-1,Q8TBE1
P45984-1,Q9NYA3
Q16401-1,Q9BX70-1
P26371,Q8N8B7-1
P60329,Q5TCM9
O60883,Q9Y5U4
Q86Y34,Q96F15-1
Q8TBB1-1,Q9NPD3
A0A0J9YW04,Q5H9K5
P61236-2,P86479
Q16585-1,Q9BZL3
P14373-1,Q969U6-1
Q69YG0,Q93062-3
Q02930-4,Q9NZC7-5
O15155-1,Q8N5M9
P55081,Q8NEJ9-1
B8A4K4,Q9NXZ2-1
P32242,Q16134-1
Q96A56-1,Q9H0R8-1
P55273,Q6ZNG0-1
Q9UJ41-2,Q9UJV3-2
P49639,Q6L8H2
A0A0J9YW04,O43474-1
P78382-1,Q8WWF3
Q96A70-1,Q9UMX2-2
Q9BR01-1,Q9BR01-1
A8MZ59,Q6UX06
P15622-3,Q9BRP7-1
P60328,Q9NQX5
O60678,P50222
P41182-1,Q8WW24
O76011,Q86UY5-1
Q8N7W2-2,Q9Y2K6
Q5JR59-3,Q9Y5E9-1
Q01453,Q3SXP7
A0A1B0GTB6,P50479-1
Q8NE01-1,Q96B26
Q15323,Q9BUZ4-1
Q5J8X5-1,Q8NFK1
Q3KNW5,Q9UBY5
P59910-1,Q5D1E8
Q8N1L9-2,Q99932-2
Q6NUQ1,Q86WT6-2
O43741-1,P01185
O60568,Q9UMD9-1
P06753-1,Q969G5
Q13643,Q6Q6R5-3
Q14973,Q8N2U9-1
O60573-1,Q13541
P31273,Q86Y13-1
P54253-1,P86479
Q96EV8-1,Q9UL45-1
Q02930-4,Q6A162
Q13352-1,Q9Y2K6
Q5HYN5,Q9H190-1
Q12951-2,Q70EL1-9
Q96A72,Q9BWC9
P18084,P60411-1
Q6S9Z5,Q969E8
P15941-11,Q15848
P05549-5,Q0VD86-1
P17482,Q07627
O95967,Q32M78
B8A4K4,P26441
P86496,Q08AM6-1
P86478,P86479
P29972-1,Q8TED1
Q13137-1,Q9Y4X0-3
P0DJD3-2,Q6P158-1
P57086,Q15697-2
Q59EK9-3,Q96SQ5-1
F6XHT0,O95873
P40198-1,Q01453
Q16281-1,Q9NYP9
P60371,S4R3B8
Q3V5L5-5,Q99750
P32242,Q63HR2-5
Q9BXN2-7,Q9H7M9
P08779,Q8TD31-1
Q6PIY7-1,Q9ULU8-2
Q7Z429,Q8TED1
P51504,Q9BWT7-1
Q6ZU15,Q9BRG1
Q9H596,Q9UBL6-2
P32243-2,P46940
P08582-2,Q7Z3S9-1
Q15973-3,Q7Z3S9-1
O95231,P07498
P41227-1,Q96QF0-7
Q8WU58,Q9NZC7-5
O15374-3,Q96Q45-2
O95292-1,Q9Y2K6
P61086-1,Q15631-1
C9JDX1,Q86VR2-1
O76015,P05787-1
O95198-1,Q53G59-1
A0A0C4DFN3,Q8IXL7-2
Q13433-2,Q5JXX7
O75396,Q8TBE3
Q9H2G9-1,Q9Y242
P60981-1,P63261
Q5JXX7,Q9NUU6
Q99598,Q9NW75-2
Q92764,Q9NQL9
O43639,Q9NYF3
O43679-1,P25800-1
P0C7H8,P82987-1
P86480,Q8WYQ9-1
O00258-1,Q8NHW4-1
O95159,Q9NUH8-1
P30153,Q9Y534
Q5BJH2-2,Q9NY72
O75410-7,Q9H788-1
P62258-1,Q86Z20-1
P56524-2,Q06413-1
Q8IX15-1,Q8TAP4-1
Q16623-1,Q8TBM7-1
Q96HP4,Q9Y680-2
Q02086-1,Q9BW66-1
A7MD48,Q8TAD8
B2RUZ4,Q9Y286-1
P0C7H8,Q8IWZ5-1
Q86Y82,Q9BXK5-1
Q96Q45-2,Q9Y5U4
P14373-1,Q15911-2
O00623,Q9NRQ5
Q14192-1,Q96BD5-1
P24593,Q7Z7N9
P15622-3,Q5TD97
Q5T5A8,Q9BYP8
P14859-1,P86496
P05161,Q9UMW8-1
Q12797-6,Q96EQ0
Q96HH9-1,Q9BZ67-1
P61289-1,Q6ZNA4-2
O95678,Q96MP8-2
P07306-1,Q7Z7G2
P37108,Q5MJ10
Q13895,Q8WV44-1
Q14525,Q92529-1
J3KQ12,Q96IK5
P11912-1,Q4LDR2
A0A087WXA6,Q8IYX8-1
Q9UPZ6,Q9Y5Y7
O75604-1,Q13084
A6NLX3,Q96A72
Q8N1B4-1,Q9NVH1-1
Q08117-2,Q7RTU3
Q96DZ9-2,Q9NUH8-1
O95967,Q96JK4-2
O60282-1,P50222
P24278,Q15025-1
O00501,Q6ZP80-1
Q53EP0-3,Q99619-1
P23142-4,Q02930-4
Q15311,Q63ZY3-1
M0QXR4,Q9NYB9-2
Q15428,Q15642-2
P59991,Q9H9D4
P28799-1,Q5T5A8
P06753-1,P19237
P17066,Q7Z4G1-1
Q07820-1,Q9UNK0
O95967,Q9BT49
Q8N6R1,Q9NPL8
P86480,Q92997-1
Q8NC24,Q92520
P42681,Q8IX15-1
Q8TBZ8,Q9UJV3-2
Q13895,Q9NQZ8
P35900,P60410
Q0VDI3,Q5QGT7
B3EWG5,P45877
P50222,Q92989-1
Q03989-5,Q3LI72
Q7Z3S9-1,Q86WX3
Q86WH2-1,Q9BYG5-1
P47897-1,Q12933-1
Q0VD86-1,Q9BRQ3-1
P49639,Q8WTU2-1
Q8TD31-1,Q96DR4-1
Q8N6R1,Q9NS71
O14893-1,P26367-1
P23769-1,Q8IUC1
O75344-1,O95678
P17661,Q6NYC8-1
P31273,Q9Y458-1
Q92966,Q9H079
Q96D09,Q9H788-1
Q14134-1,Q9Y6D9-1
A5D8V6,Q8IUC3
Q9BYE3,Q9BYR7
Q8NEW7,Q96KR6
